id,name,level,hd,atk,ac,total,type,subtype,atk_type,resist,vulnerability,special
1,Goblin,1,4,2,2,8,humanoid,,slash,,,
2,Kobold,1,3,3,1,7,humanoid,,pierce,,,
3,Dog,1,2,4,2,8,animal,mammal,pierce,,,
4,Jelly,1,5,1,4,10,aberration,,acid,acid,electric,melt
5,Skeleton,2,3,4,3,10,humanoid,undead,slash,slash,blunt,
6,Orc,2,4,3,3,10,humanoid,,blunt,,,
7,Slime,2,7,3,5,15,aberration,,acid,acid,electric,melt
8,Wolf,2,3,4,3,10,animal,mammal,pierce,,,
9,Imp,2,3,5,3,11,demon,,fire,fire,cold,burn
10,Gnoll,3,4,4,3,11,humanoid,,blunt,,,
11,Zombie,3,7,3,5,15,humanoid,undead,blunt,cold,fire,
12,Python,3,5,5,5,15,animal,reptile,grab,,,
13,Spectre,4,6,6,4,16,humanoid,undead,touch,,,drain
14,Griffon,4,5,7,4,16,animal,,slash,,,
15,Ogre,4,7,7,5,19,humanoid,,blunt,,,
16,Quasit,4,4,5,7,16,demon,,pierce,,,
17,Ooze,4,8,3,5,16,aberration,,acid,electric,fire,melt
18,Spider,5,6,8,7,21,animal,insect,pierce,pierce,fire,drain
19,Shambler,5,7,8,5,20,aberration,,blunt,fire,slash,
20,Wraith,5,5,8,11,24,humanoid,undead,cold,cold,electric,drain
21,Werewolf,5,6,8,7,21,animal,mammal,slash,blunt,,
22,Drake,5,9,8,9,26,dragon,,slash,fire,cold,burn
23,Gremlin,6,7,9,8,24,demon,,acid,fire,blunt,melt
24,Panther,6,6,11,9,26,animal,,slash,,,
25,Automaton,6,10,8,8,26,humanoid,construct,electric,blunt,pierce,shock
26,Bugbear,6,8,10,9,27,humanoid,,blunt,,,
27,Crab,7,8,10,12,30,animal,insect,slash,slash,cold,
28,Lizardman,7,10,10,10,30,humanoid,,pierce,,,
29,Ghoul,7,9,11,11,31,humanoid,undead,slash,cold,fire,drain
30,Gargoyle,7,12,8,10,30,humanoid,construct,slash,blunt,cold,
31,Minotaur,8,8,11,9,34,humanoid,,slash,,,
32,Bear,8,9,11,5,31,animal,,grab,,,
33,Golem,8,10,10,10,36,humanoid,construct,blunt,slash,electric,
34,Shadow,8,7,13,7,33,humanoid,undead,touch,electric,fire,drain
35,Centaur,9,11,13,12,39,humanoid,,slash,,,
36,Eagle,9,10,15,13,41,animal,bird,pierce,,,
37,Yeti,9,14,12,12,41,humanoid,,blunt,cold,fire,freeze
38,Wyvern,9,12,14,13,42,dragon,,pierce,,,drain
27,Tiger,10,11,13,15,30,animal,,slash,,,
28,Hag,10,13,13,13,30,humanoid,,fire,fire,pierce,burn
29,Will-o-wisp,10,12,14,14,31,humanoid,fae,electric,electric,blunt,shock
30,Hell Hound,10,15,11,13,30,demon,,fire,fire,cold,burn
31,Scorpion,11,12,15,13,34,animal,insect,pierce,slash,blunt,drain
32,Mummy,11,13,15,9,31,humanoid,undead,blunt,cold,fire,drain
33,Tentaculus,11,14,14,14,36,aberration,,grab,blunt,slash,melt
34,Troll,11,11,17,11,33,humanoid,,slash,pierce,fire,
35,Naga,12,12,14,13,39,demon,,grab,,,
36,Chimera,12,11,16,14,41,animal,,slash,,,
37,Vampire,12,15,13,13,41,humanoid,undead,pierce,electric,fire,drain
38,Manticore,12,13,15,14,42,animal,,pierce,,,
39,Ghost,13,13,15,17,45,humanoid,undead,touch,slash,,drain
40,Giant,13,15,15,15,45,humanoid,,blunt,,,
41,Wyrm,13,14,16,16,46,dragon,,fire,pierce,cold,burn
42,Horror,13,17,13,15,45,aberration,,grab,fire,electric,drain
43,Death Knight,14,15,18,16,49,humanoid,undead,slash,,,freeze
44,Hydra,14,16,18,12,46,animal,reptile,pierce,slash,fire,
45,Titan,14,17,17,17,51,humanoid,,slash,,,
46,Demon,14,14,20,14,48,demon,,pierce,fire,acid,burn
